Role,Category,Default_Category,Outlet,Title,URL,Active,Sort_Order,Pub_Date
link,US Interference in Latin America,,Politico,How Trump took control of Venezuela's democratic transition,https://www.politico.com/news/2026/08/29/venezuela-democracy-transition-machado-figuera-01053625,True,0.0,2026-09-05T15:00:00+00:00
link,US Interference in Latin America,,Real News Network,Trump threats overshadow Brazil's presidential election,https://therealnews.com/trump-brazil-presidential-election,True,0.0,2026-09-05T15:00:00+00:00
link,Climate and the Environment,,Mother Jones,Here's One Federal Clean Power Program Trump Hasn't Destroyed Yet,https://www.motherjones.com/politics/2026/08/arpa-e-clean-power-energy-fusion-geothermal-storage-innovation-high-risk-high-reward/,True,0.0,2026-09-05T15:00:00+00:00
link,Health and Medicine,,Vox,The surprising reason food recalls are getting worse,https://www.vox.com/good-medicine-newsletter/500665/food-recall-blueberries-eggs-lettuce-safe-to-eat,True,0.0,2026-09-05T15:00:00+00:00
link,Unions,,Jacobin,The Fight Over Data Centers Is Dividing the Labor Movement,https://jacobin.com/2026/08/ai-data-centers-construction-unions,True,0.0,2026-09-05T15:00:00+00:00
link,Gaza War,,Politico,Trump to declare Palestine Action a global terror group,https://www.politico.com/news/2026/08/26/trump-to-declare-palestine-action-a-global-terror-group-01050496,True,0.0,2026-09-05T15:00:00+00:00
link,Health and Medicine,,Slate,Public Health Officials Are Already Terrified of the Next Pandemic. They Have One Weird Ray of Hope.,https://slate.com/news-and-politics/2026/08/ai-fauci-public-health-next-pandemic-rfk-conspiracy.html,True,0.0,2026-09-05T15:00:00+00:00
link,Left Thought,,Jacobin,The Return of Industrial Policy,"https://jacobin.com/2026/08/industrial-policy-developmentalism-tariffs-planning,jacobin",True,0.0,2026-09-05T15:00:00+00:00
link,Unions,,Jacobin,Socialists’ Winning Streak Is an Opportunity for Unions,https://jacobin.com/2026/08/dsa-mamdani-labor-unions-reform,True,0.0,2026-09-05T15:00:00+00:00
link,Health and Medicine,,Politico,"""'The MMR vaccine is not a lethal vaccine,' Mehmet Oz says""",https://www.politico.com/news/2026/08/23/mehmet-oz-vaccine-mmr-lethal-01046899,True,0.0,2026-09-05T15:00:00+00:00
